,College Name,360 Careers Rating,NIRF Rank
70,"Jaypee University of Information Technology, Solan",AAAA,121
153,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",AAA+,122
105,"Sri Sai Ram Engineering College, Chennai",AAAA,123
178,"Saveetha Engineering College, Chennai",AAA,124
138,"Lovely Professional University, Phagwara",AAA+,125
167,"Veer Surendra Sai University of Technology, Sambalpur",AAA+,126
55,"Dayananda Sagar College of Engineering, Bangalore",AAAA,127
142,"NMAM Institute of Technology, Karkala Taluk",AAA+,128
164,"St Joseph's College of Engineering, Chennai",AAA+,128
32,National Institute of Technology Jamshedpur,AAAA+,130
117,"BS Abdur Rahman Institute of Science and Technology, Chennai",AAA+,131
50,"CVR College of Engineering, Hyderabad",AAAA,132
98,"Sant Longowal Institute of Engineering and Technology, Longowal",AAAA,133
86,National Institute of Technology Patna,AAAA,134
172,"Yeshwantrao Chavan College of Engineering, Nagpur",AAA+,134
91,"Nirma University, Ahmedabad",AAAA,136
76,"Maharaja Sayajirao University of Baroda, Vadodara",AAAA,137
160,"Sri Ramakrishna Engineering College, Coimbatore",AAA+,138
152,"Rajalakshmi Engineering College, Chennai",AAA+,139
133,"Institute of Aeronautical Engineering, Dundigal",AAA+,139
146,"Nitte Meenakshi Institute of Technology, Bangalore",AAA+,142
162,"Sri Venkateswara College of Engineering, Sriperumbudur",AAA+,143
171,"YMCA University of Science and Technology, Faridabad",AAA+,144
109,"University of Petroleum and Energy Studies, Dehradun",AAAA,145
179,"Sri Krishna College of Technology, Coimbatore",AAA,145
119,"BVRIT Hyderabad College of Engineering for Women, Hyderabad",AAA+,147
145,National Institute of Technology Manipur,AAA+,148
148,"PES University, Bangalore",AAA+,149
130,"Heritage Institute of Technology, Kolkata",AAA+,150
149,"PSNA College of Engineering and Technology, Dindigul",AAA+,150
166,"Vardhaman College of Engineering, Hyderabad",AAA+,152
113,"Walchand College of Engineering, Sangli",AAAA,153
57,"Dr Vishwanath Karad MIT World Peace University, Pune",AAAA,154
170,"Vishwakarma Institute of Technology, Pune",AAA+,155
116,"BNM Institute of Technology, Bangalore",AAA+,156
115,"BMS Institute of Technology and Management, Bangalore",AAA+,157
151,"RMK Engineering College, Thiruvallur",AAA+,157
135,"KLE Technological University, Hubballi",AAA+,159
143,"Narula Institute of Technology, Agarpara",AAA+,160
147,"PES College of Engineering, Mandya",AAA+,161
132,"Indira Gandhi Delhi Technical University for Women, Delhi",AAA+,162
122,"Dr Ambedkar Institute of Technology, Bangalore",AAA+,163
140,"Manav Rachna International Institute of Research and Studies, Faridabad",AAA+,164
78,"Maulana Abul Kalam Azad University of Technology, Kolkata",AAAA,165
176,"National Engineering College, Kovilpatti",AAA,166
159,"Sree Vidyanikethan Engineering College, Tirupati",AAA+,167
118,"BV Raju Institute of Technology, Narsapur",AAA+,168
114,"Anurag Group of Institutions, Ghatkesar",AAA+,169
110,"Vasavi College of Engineering, Hyderabad",AAAA,170
169,"Velagapudi Ramakrishna Siddhartha Engineering College, Vijayawada",AAA+,171
177,"Ramrao Adik Institute of Technology, Navi Mumbai",AAA,172
92,"North Eastern Regional Institute of Science and Technology, Nirjuli",AAAA,173
129,"Haldia Institute of Technology, Haldia",AAA+,174
121,"CMR Institute of Technology, Bangalore",AAA+,174
180,"Sri Venkateswara College of Engineering and Technology, Chittoor",AAA,176
126,"G Pulla Reddy Engineering College, Kurnool",AAA+,177
107,"The National Institute of Engineering, Mysore",AAAA,178
128,"Gokaraju Rangaraju Institute of Engineering and Technology, Hyderabad",AAA+,179
136,"Kakatiya Institute of Technology and Science, Warangal",AAA+,180
154,"Sardar Patel College of Engineering, Mumbai",AAA+,180
134,"KJ Somaiya College of Engineering, Mumbai",AAA+,182
156,"Shri Vishnu Engineering College for Women, Bhimavaram",AAA+,183
175,"Dr Mahalingam College of Engineering and Technology, Pollachi",AAA,184
66,"JNTUA College of Engineering, Anantapur",AAAA,185
139,"MKSSS's Cummins College of Engineering for Women, Pune",AAA+,188
183,"Vel Tech Multi Tech Dr Rangarajan Dr Sakunthala Engineering College, Chennai",AAA,189
97,"Sagi Ramakrishnam Raju Engineering College, Bhimavaram",AAAA,189
120,"BVV Sangha's Basaveshwar Engineering College, Bagalkot",AAA+,191
150,"Pimpri Chinchwad College of Engineering, Pune",AAA+,192
182,"Thakur College of Engineering and Technology, Mumbai",AAA,193
161,"Sri Sai Ram Institute of Technology, Chennai",AAA+,194
124,"Dwarkadas J Sanghvi College of Engineering, Mumbai",AAA+,195
123,"Dr MGR Educational and Research Institute, Chennai",AAA+,196
62,Indian Institute of Information Technology Design and Manufacturing Kancheepuram,AAAA,197
174,"Dr BR Ambedkar Institute of Technology, Port Blair",AAA,198
58,"Gayatri Vidya Parishad College of Engineering, Visakhapatnam",AAAA,198
125,"Easwari Engineering College, Chennai",AAA+,200
